,name,genre,parent_platform,platform,publisher,developer,release_date,rating,global_sales,NA_sales,EU_sales,JP_sales,other_sales,generation,players_category,players,online,critic_positive,critic_neutral,critic_negative,metascore,num_critic_reviews,user_positive,user_neutral,user_negative,user_score,num_users_reviews
101,Pokemon Platinum Version,Role-Playing,Nintendo,DS,Nintendo,Game Freak,2009-03-22,E,7.6,,,,,7th Gen,2 to 4,2 ,Not Specified,42,4,0,83,46,51,9,1,8.3,61
102,The Legend of Zelda: Ocarina of Time,Adventure,Nintendo,N64,Nintendo,Nintendo EAD,1998-11-23,E,7.6,4.1,1.89,1.45,0.16,5th Gen,1,1 Player,Not Online,22,0,0,99,22,918,42,37,9.1,997
103,Call of Duty: Advanced Warfare,Shooter,PlayStation,PS4,Activision,Sledgehammer Games,2014-11-03,M,7.6,2.8,3.3,0.14,1.37,8th Gen,13 to 24,Up to 18 ,Not Specified,35,4,0,83,39,167,111,120,5.7,398
104,Call of Duty: World at War,Shooter,Xbox,X360,Activision,Treyarch,2008-11-10,M,7.37,4.79,1.9,0.0,0.69,7th Gen,13 to 24,Up to 18 ,Not Specified,76,8,0,84,84,79,34,27,7.6,140
105,Super Mario Galaxy 2,Platform,Nintendo,WII,Nintendo,Nintendo EAD Tokyo,2010-05-23,E,7.41,,,,,7th Gen,Not Specified,No Online Multiplayer,Not Online,87,0,0,97,87,294,16,15,9.1,325
106,Super Smash Bros. Melee,Fighting,Nintendo,GC,Nintendo,HAL Laboratory,2001-12-02,T,7.07,4.41,1.04,1.39,0.22,6th Gen,2 to 4,1-4 ,Not Specified,37,1,0,92,38,234,12,11,9.1,257
107,Battlefield 3,Shooter,Xbox,X360,Electronic Arts,Dice,2011-10-25,M,7.34,4.46,2.13,0.06,0.69,7th Gen,,,,53,4,0,84,57,594,111,117,7.5,822
108,The Legend of Zelda: Twilight Princess,Adventure,Nintendo,WII,Nintendo,Nintendo EAD,2006-11-19,T,7.26,,,,,7th Gen,Not Specified,No Online Multiplayer,Not Online,73,0,0,95,73,377,32,20,9.0,429
109,Battlefield 1,Shooter,PlayStation,PS4,Electronic Arts,EA DICE,2016-10-18,M,7.26,2.2,3.65,0.29,1.12,8th Gen,25 to 64,Up to 64 ,Not Specified,34,0,0,89,34,226,52,43,7.9,321
110,Battlefield 3,Shooter,PlayStation,PS3,Electronic Arts,Dice,2011-10-25,M,7.23,2.85,2.93,0.35,1.1,7th Gen,13 to 24,Up to 24 ,Not Specified,35,3,0,85,38,465,67,81,7.5,613
