,name,genre,parent_platform,platform,publisher,developer,release_date,rating,global_sales,NA_sales,EU_sales,JP_sales,other_sales,generation,players_category,players,online,critic_positive,critic_neutral,critic_negative,metascore,num_critic_reviews,user_positive,user_neutral,user_negative,user_score,num_users_reviews
3395,Bully: Scholarship Edition,Action,Nintendo,WII,Rockstar Games,Rockstar Toronto,2008-03-04,T,0.5,0.36,0.13,0.0,0.01,7th Gen,1,1 Player,Not Online,32,2,0,83,34,16,4,3,8.3,23
3396,Rock Band Unplugged,Misc,PlayStation,PSP,MTV Games,Backbone Entertainment / Harmonix Music Systems,2009-06-09,T,0.51,0.0,0.46,0.0,0.06,7th Gen,,,,40,10,0,79,50,9,1,0,8.6,10
3397,Looney Tunes: Back in Action,Platform,PlayStation,PS2,Warner Bros. Interactive,Warthog,2003-11-19,E,0.31,0.05,0.19,0.03,0.04,6th Gen,1,1 Player,Not Online,2,4,3,51,9,0,0,1,7.6,1
3398,Rooms: The Main Building,Adventure,Nintendo,DS,Hudson Soft,HandMade Game,2010-03-23,E,0.5,0.17,0.28,,0.06,7th Gen,,,,2,16,5,56,23,0,0,0,,0
3399,NHL 09,Sports,Xbox,X360,Electronic Arts,EA Canada,2008-09-09,E,0.48,0.24,0.15,0.0,0.1,7th Gen,,,,41,0,0,88,41,13,3,2,8.3,18
3400,Major League Baseball 2K12,Sports,Xbox,X360,Take-Two Interactive,"Visual Concepts, Ltd.",2012-03-06,E,0.5,0.25,0.19,0.0,0.06,7th Gen,,,,4,15,0,68,19,6,2,3,6.4,11
3401,Tiger Woods PGA Tour 07,Sports,PlayStation,PS3,EA Sports,EA Redwood Shores,2006-11-14,E,0.58,0.1,0.41,0.01,0.06,7th Gen,2 to 4,Up to 4 ,Not Specified,27,3,0,81,30,2,0,0,,2
3402,Resident Evil: Revelations,Shooter,PC,PC,Capcom,Capcom,2013-05-20,M,0.5,0.45,0.01,0.0,0.04,PC,2 to 4,2 ,Not Specified,9,3,0,77,12,28,22,15,7.1,65
3403,R.U.S.E.,Strategy,PlayStation,PS3,Ubisoft,Eugen Systems,2010-09-07,T,0.5,0.47,0.0,0.0,0.03,7th Gen,5 to 12,1-8 ,Not Specified,26,11,0,76,37,9,1,3,7.3,13
3404,Midnight Club II,Racing,Xbox,XBOX,Rockstar Games,Rockstar San Diego,2003-06-03,T,0.5,0.31,0.12,0.0,0.07,6th Gen,5 to 12,1-6 ,Not Specified,31,2,0,86,33,6,2,1,7.5,9
3405,Attack on Titan,Action,PlayStation,PS4,Tecmo Koei,Omega Force,2016-08-30,M,0.04,0.0,0.03,0.0,0.01,8th Gen,2 to 4,Up to 4 ,Not Specified,32,25,1,74,58,16,5,3,7.0,24
3406,Lost: Via Domus,Action,PlayStation,PS3,Ubisoft,Ubisoft Montreal,2008-02-26,T,0.51,0.18,0.22,0.02,0.09,7th Gen,Not Specified,No Online Multiplayer,Not Online,1,20,9,54,30,4,2,3,6.4,9
3407,WWE SmackDown vs. RAW 2007,Fighting,Xbox,X360,THQ,Yuke's,2006-11-14,T,0.5,0.42,0.06,,0.02,7th Gen,2 to 4,1-4 ,Not Specified,42,8,0,81,50,10,4,3,7.9,17
3408,Picross DS,Puzzle,Nintendo,DS,Nintendo,Jupiter Multimedia,2007-07-30,E,0.5,0.08,0.24,0.12,0.06,7th Gen,5 to 12,5  Online,Online,29,4,0,83,33,7,0,1,8.0,8
3409,Avatar: The Last Airbender,Adventure,Nintendo,GC,THQ,AWE Games,2006-10-10,E10,0.51,0.19,0.23,0.0,0.09,6th Gen,1,1 Player,Not Online,1,8,1,60,10,1,1,1,6.5,3
3410,The Mummy Returns,Action,PlayStation,PS2,Universal Interactive,Blitz Games,2001-10-03,T,0.51,0.44,0.03,0.0,0.04,6th Gen,1,1 Player,Not Online,0,5,8,44,13,2,1,2,7.0,5
3411,Transformers: War for Cybertron,Action,PlayStation,PS3,Activision,High Moon Studios,2010-06-22,T,0.51,0.17,0.02,0.3,0.02,7th Gen,,,,32,13,0,77,45,16,4,1,8.2,21
3412,Hitman: Blood Money,Action,PlayStation,PS2,Eidos Interactive,IO Interactive,2006-05-30,M,0.5,0.39,0.1,0.0,0.01,6th Gen,1,1 Player,Not Online,32,4,0,83,36,29,7,5,8.6,41
3413,Sega Bass Fishing,Sports,Nintendo,WII,Sega,Cavia Inc.,2008-02-26,E,0.5,0.25,0.19,0.0,0.06,7th Gen,1,1 Player,Not Online,2,25,2,59,29,1,1,2,5.8,4
3414,Activision Anthology,Misc,PlayStation,PS2,Activision,Contraband Entertainment,2002-11-19,E,0.5,0.24,0.18,,0.07,6th Gen,2 to 4,1-2 ,Not Specified,8,5,0,75,13,1,1,0,8.1,2
3415,Crash: Mind Over Mutant,Platform,PlayStation,PS2,Activision,Radical Entertainment,2008-10-07,E10,0.5,0.25,0.19,0.0,0.06,6th Gen,,,,3,4,0,73,7,7,4,6,6.2,17
3416,Pro Evolution Soccer 2012,Sports,Xbox,X360,Konami,Konami,2011-09-27,E,0.5,0.45,0.01,0.0,0.04,7th Gen,,,,28,8,0,78,36,9,3,2,6.6,14
3417,Shovel Knight,Platform,Nintendo,3DS,Yacht Club Games,Yacht Club Games,2014-06-26,E,0.5,0.25,0.19,0.0,0.06,8th Gen,Not Specified,No Online Multiplayer,Not Online,9,0,0,90,9,51,5,1,8.3,57
3418,Goldeneye 007: Reloaded,Shooter,Xbox,X360,Activision,Eurocom,2011-11-01,T,0.5,0.25,0.19,0.0,0.06,7th Gen,,,,29,27,0,72,56,16,13,16,6.0,45
3419,PlayStation All-Stars Battle Royale,Fighting,PlayStation,VITA,Sony Computer Entertainment,Bluepoint Games,2012-11-20,T,0.5,0.1,0.34,0.0,0.07,8th Gen,5 to 12,Up to 8 ,Not Specified,8,7,0,75,15,27,14,4,7.5,45
3420,Gothic 3,Role-Playing,PC,PC,Aspyr,Piranha Bytes,2006-11-14,T,0.13,0.07,0.04,0.01,0.01,PC,1,1 Player,Not Online,13,19,7,63,39,60,24,18,7.5,102
3421,Rugrats in Paris: The Movie,Action,Nintendo,N64,THQ,Avalanche Software,2000-11-12,E,0.51,0.25,0.21,0.0,0.05,5th Gen,,,,1,3,0,64,4,1,4,2,5.2,7
3422,Trials Evolution,Racing,Xbox,X360,Microsoft Studios,RedLynx,2012-04-18,E10,0.5,0.21,0.16,0.01,0.12,7th Gen,,,,77,0,0,90,77,51,6,2,8.0,59
3423,Yakuza 3,Adventure,PlayStation,PS3,Sega,Sega,2010-03-09,M,0.06,0.0,0.05,0.0,0.01,7th Gen,Not Specified,No Online Multiplayer,Not Online,59,18,0,79,77,21,9,3,8.3,33
3424,Yakuza 6: The Song of Life,Adventure,PlayStation,PS4,Sega,Sega,2018-04-17,M,0.5,0.4,0.09,0.0,0.01,8th Gen,Not Specified,No Online Multiplayer,Not Online,82,9,0,83,91,43,9,1,8.3,53
3426,Metal Gear Rising: Revengeance,Action,Xbox,X360,Konami Digital Entertainment,PlatinumGames,2013-02-19,M,1.13,0.21,0.21,0.62,0.08,7th Gen,,,,39,7,0,82,46,51,17,7,7.9,75
3428,Tactics Ogre: The Knight of Lodis,Role-Playing,Nintendo,GBA,Atlus,Quest Corporation,2002-05-11,E,0.5,0.24,0.22,,0.04,6th Gen,2 to 4,1-2 ,Not Specified,19,1,0,88,20,8,0,0,8.6,8
3429,Burnout Revenge,Racing,Xbox,X360,Electronic Arts,Criterion,2006-03-07,E10,0.5,0.29,0.16,0.0,0.04,7th Gen,5 to 12,6  Online,Online,61,0,0,89,61,46,6,5,8.2,57
3430,Burnout Revenge,Racing,Xbox,X360,Electronic Arts,Criterion Games,2006-03-07,E10,0.5,0.24,0.19,0.0,0.06,7th Gen,5 to 12,6  Online,Online,61,0,0,89,61,46,6,5,8.2,57
3431,Hometown Story,Simulation,Nintendo,3DS,Natsume,Toy Box,2013-10-17,E10,0.5,0.13,0.05,0.31,0.01,8th Gen,Not Specified,No Online Multiplayer,Not Online,0,6,8,47,14,0,5,5,6.0,10
3432,Dead or Alive Ultimate,Fighting,Xbox,XBOX,Tecmo,Team Ninja,2004-10-26,M,0.51,0.42,0.05,0.0,0.04,6th Gen,5 to 12,8  Online,Online,52,12,0,83,64,14,1,2,8.7,17
3433,Dance Dance Revolution Universe 2,Simulation,Xbox,X360,Konami,Bemani,2007-12-04,E,0.51,0.42,0.05,0.0,0.04,7th Gen,2 to 4,1-4 ,Not Specified,2,7,1,65,10,3,0,0,7.4,3
3434,RPG Maker,Role-Playing,PlayStation,PS,Agetec,Agetec Inc.,2000-09-19,E,0.42,0.22,0.13,0.04,0.04,5th Gen,1,1 Player,Not Online,6,4,1,66,11,5,0,1,8.4,6
3435,RPG Maker,Role-Playing,PlayStation,PS,Agetec,Kuusou Kagaku,2000-09-19,E,0.5,0.3,0.1,0.08,0.02,5th Gen,1,1 Player,Not Online,6,4,1,66,11,5,0,1,8.4,6
3436,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,Adventure,PlayStation,PS2,THQ,THQ,2004-09-13,E,0.5,0.46,0.01,0.0,0.04,6th Gen,1,1 Player,Not Online,2,6,0,65,8,3,0,1,7.8,4
3437,NBA Street Homecourt,Sports,Xbox,X360,EA Sports,EA Canada,2007-02-20,E,0.5,0.11,0.07,0.29,0.03,7th Gen,2 to 4,2  Online,Online,33,8,1,80,42,5,4,0,7.8,9
3438,NBA Street Homecourt,Sports,Xbox,X360,EA Sports,EA Canada,2007-02-20,E,0.5,0.11,0.07,0.29,0.03,7th Gen,2 to 4,2  Online,Online,33,8,1,80,42,5,4,0,7.8,9
3439,Pokemon Art Academy,Misc,Nintendo,3DS,Nintendo,Headstrong Games,2014-10-24,E,0.5,0.24,0.19,0.0,0.06,8th Gen,,,,15,7,0,76,22,4,1,0,7.7,5
3440,Monster Hunter,Role-Playing,PlayStation,PS2,Capcom,Capcom,2004-09-21,M,0.5,0.45,0.01,0.0,0.04,6th Gen,2 to 4,4  Online,Online,15,19,3,68,37,22,1,1,8.8,24
3441,SplashDown: Rides Gone Wild,Racing,PlayStation,PS2,THQ,Rainbow Studios,2003-08-05,E,0.5,0.45,0.01,0.0,0.04,6th Gen,2 to 4,1-2 ,Not Specified,18,7,0,80,25,11,1,0,8.6,12
3442,Tony Hawk's Underground 2,Sports,Nintendo,GC,Activision,Neversoft Entertainment,2004-10-04,T,0.49,0.18,0.12,0.16,0.03,6th Gen,2 to 4,1-2 ,Not Specified,26,4,0,82,30,2,0,0,8.4,2
3443,Picross 3D,Puzzle,Nintendo,DS,Nintendo,HAL Laboratory,2010-05-03,E,0.5,0.11,0.08,0.28,0.03,7th Gen,1,1 Player,Not Online,30,5,0,83,35,7,4,0,8.0,11
3444,Ridge Racer 3D,Racing,Nintendo,3DS,Namco Bandai,Namco Bandai Games,2011-03-22,E,0.5,0.24,0.19,0.0,0.06,8th Gen,,,,33,26,0,75,59,15,9,2,7.3,26
3445,Reigns,Role-Playing,PC,PC,Unknown,Nerial,2016-08-11,,0.5,0.38,0.1,0.0,0.01,PC,Not Specified,No Online Multiplayer,Not Online,9,1,0,77,10,6,4,1,7.4,11
3446,Pro Evolution Soccer 2019,Sports,PlayStation,PS4,Konami,Konami,2018-08-28,E,0.53,0.3,0.03,0.16,0.03,8th Gen,13 to 24,Up to 22 ,Not Specified,43,13,0,79,56,47,13,45,6.5,105
3447,Shrek SuperSlam,Action,PlayStation,PS2,Activision,Shaba Games,2005-10-25,E10,0.5,0.19,0.15,0.12,0.03,6th Gen,13 to 24,24  Online,Online,9,11,1,67,21,7,1,0,6.5,8
3449,Super Monkey Ball 3D,Action,Nintendo,3DS,Sega,Sega,2011-03-27,E,0.5,0.06,0.23,0.15,0.05,8th Gen,,,,8,33,16,55,57,2,12,5,5.6,19
3450,Rayman Advance,Platform,Nintendo,GBA,Ubisoft,Digital Eclipse,2001-06-10,E,0.5,0.24,0.19,0.0,0.06,6th Gen,,,,15,2,0,84,17,4,2,1,7.8,7
3451,Wet,Shooter,Xbox,X360,Bethesda Softworks,Artificial Mind and Movement,2009-09-15,M,0.5,0.27,0.15,0.04,0.04,7th Gen,1,1 Player,Not Online,25,54,0,69,79,12,8,3,7.2,23
3452,Spider-Man 2,Action,Nintendo,DS,Activision,Vicarious Visions,2004-11-16,E,0.49,0.26,0.15,0.05,0.04,7th Gen,1,1 Player,Not Online,12,25,9,61,46,2,1,1,5.0,4
3453,Dragon's Crown,Role-Playing,PlayStation,PS3,Atlus,Vanillaware,2013-08-06,RP,0.5,0.36,0.13,0.0,0.01,7th Gen,2 to 4,Up to 4 ,Not Specified,54,8,0,82,62,53,8,3,8.4,64
3454,Fantastic 4,Action,PlayStation,PS2,Activision,7 Studios,2005-06-27,T,0.5,0.23,0.21,0.01,0.05,6th Gen,2 to 4,1-2 ,Not Specified,9,30,3,64,42,7,2,4,7.3,13
3455,Steel Diver,Action,Nintendo,3DS,Nintendo,Nintendo EAD,2011-03-27,E10,0.5,0.41,0.02,0.03,0.04,8th Gen,,,,4,43,8,58,55,5,4,2,6.2,11
3456,Men in Black II: Alien Escape,Shooter,PlayStation,PS2,Infogrames,Melbourne House,2002-06-27,T,0.53,0.25,0.07,0.17,0.05,6th Gen,1,1 Player,Not Online,1,10,8,50,19,2,0,1,7.3,3
3457,Madden NFL 07,Sports,Nintendo,WII,EA Sports,HB Studios,2006-11-14,E,0.5,0.41,0.01,0.0,0.07,7th Gen,Not Specified,No Online Multiplayer,Not Online,30,5,0,81,35,10,1,1,8.0,12
3458,Resident Evil: The Mercenaries 3D,Shooter,Nintendo,3DS,Capcom,Capcom,2011-06-28,M,0.49,0.31,0.1,0.05,0.03,8th Gen,2 to 4,2 ,Not Specified,15,50,4,65,69,29,15,9,6.5,53
3459,Watch Dogs,Action-Adventure,PC,PC,Ubisoft,Ubisoft Montreal,2014-05-26,M,0.5,0.24,0.19,0.0,0.06,PC,,,,10,8,0,77,18,222,176,421,4.8,819
3460,Dynasty Warriors: Gundam 2,Action,PlayStation,PS3,Namco Bandai,Omega Force,2009-04-21,T,0.5,0.46,0.0,,0.04,7th Gen,,,,2,13,7,54,22,5,1,2,7.0,8
3461,SpongeBob SquarePants: Creature from the Krusty Krab,Platform,Nintendo,WII,THQ,Blitz Games,2006-11-13,E,0.49,0.16,0.17,0.13,0.03,7th Gen,Not Specified,No Online Multiplayer,Not Online,1,11,4,57,16,3,0,1,5.9,4
3462,The Witness,Puzzle,PC,PC,"Thekla, Inc.",Number None Inc.,2016-01-26,RP,0.45,0.14,0.26,0.0,0.05,PC,Not Specified,No Online Multiplayer,Not Online,17,3,0,87,20,58,17,29,6.9,104
3463,The Witness,Adventure,PC,PC,Infocom,"Infocom, Inc.",2016-01-26,E,0.5,0.09,0.07,0.32,0.03,PC,Not Specified,No Online Multiplayer,Not Online,17,3,0,87,20,58,17,29,6.9,104
3464,Tony Hawk's Underground 2,Sports,Nintendo,GBA,Activision,Vicarious Visions,2004-10-04,E,0.49,0.44,0.02,,0.04,6th Gen,2 to 4,1-2 ,Not Specified,1,3,0,70,4,0,0,0,,0
3467,Dragon Ball Z: Supersonic Warriors 2,Fighting,Nintendo,DS,Atari,Arc System Works,2005-11-20,E10,0.49,0.35,0.13,0.0,0.01,7th Gen,2 to 4,1-2 ,Not Specified,3,8,2,66,13,4,3,2,7.4,9
3468,Story of Seasons: Trio of Towns,Simulation,Nintendo,3DS,Marvelous Interactive,Marvelous Entertainment,2017-02-28,E10,0.49,0.43,0.03,,0.04,8th Gen,2 to 4,Up to 4 ,Not Specified,18,14,0,74,32,4,0,0,8.1,4
3469,Nuclear Throne,Shooter,PC,PC,Unknown,Vlambeer,2015-12-05,,0.49,0.44,0.02,0.0,0.04,PC,Not Specified,No Online Multiplayer,Not Online,14,0,0,88,14,23,9,0,7.7,32
3470,Fire Emblem: Radiant Dawn,Strategy,Nintendo,WII,Nintendo,Intelligent Systems,2007-11-05,E10,0.5,0.14,0.02,0.32,0.02,7th Gen,Not Specified,No Online Multiplayer,Not Online,24,11,1,78,36,46,5,2,8.7,53
3471,Mario Golf: World Tour,Sports,Nintendo,3DS,Nintendo,Camelot Software Planning,2014-05-02,E,0.49,0.19,0.06,0.22,0.03,8th Gen,2 to 4,Up to 4 ,Not Specified,56,17,0,78,73,18,4,0,8.0,22
3473,The Matrix: Path of Neo,Action,PlayStation,PS2,Atari,Shiny Entertainment,2005-11-07,T,0.49,0.27,0.03,0.17,0.03,6th Gen,,,,15,24,3,69,42,7,6,3,7.7,16
3474,WWE Wrestlemania X8,Fighting,Nintendo,GC,THQ,Yuke's,2002-06-09,T,0.48,0.15,0.14,0.17,0.03,6th Gen,2 to 4,1-4 ,Not Specified,7,14,4,64,25,8,7,2,6.8,17
3475,Star Wars Battlefront: Elite Squadron,Shooter,Nintendo,DS,LucasArts,n-Space,2009-11-03,T,0.49,0.3,0.12,0.03,0.04,7th Gen,2 to 4,4  Online,Online,0,12,0,61,12,0,1,1,5.3,2
3476,Asphalt 3D,Racing,Nintendo,3DS,Ubisoft,Konami,2011-03-22,E10,0.49,0.41,0.01,0.0,0.07,8th Gen,,,,2,13,22,43,37,1,1,6,5.0,8
3477,GoldenEye: Rogue Agent,Shooter,Xbox,XBOX,Electronic Arts,Dreamworks Games,2004-11-22,T,0.49,0.38,0.1,0.0,0.01,6th Gen,5 to 12,8  Online,Online,15,29,11,61,55,6,3,5,6.9,14
3478,The Sims,Simulation,Nintendo,GC,Electronic Arts,Maxis,2003-03-25,T,0.52,0.44,0.04,0.0,0.04,6th Gen,2 to 4,1-2 ,Not Specified,15,1,0,85,16,10,3,4,7.6,17
3479,Grandia III,Role-Playing,PlayStation,PS2,Square Enix,Game Arts,2006-02-14,T,0.49,0.27,0.16,0.02,0.04,6th Gen,1,1 Player,Not Online,27,11,0,77,38,18,5,2,8.5,25
3480,Soma,Action,PC,PC,Frictional Games,Frictional Games,2015-09-21,M,0.49,0.34,0.13,,0.02,PC,Not Specified,No Online Multiplayer,Not Online,63,4,1,84,68,140,17,10,8.3,167
3481,Kane & Lynch 2: Dog Days,Shooter,Xbox,X360,Square Enix,IO Interactive,2010-08-17,M,0.49,0.35,0.13,0.0,0.01,7th Gen,,,,20,49,11,63,80,13,5,20,5.3,38
3482,Kane & Lynch 2: Dog Days,Action,Xbox,X360,Square Enix,IO Interactive,2010-08-17,M,0.49,0.12,0.1,0.24,0.03,7th Gen,,,,20,49,11,63,80,13,5,20,5.3,38
3484,Final Fantasy XV: Windows Edition,Role-Playing,PC,PC,Square Enix,Square Enix,2018-03-06,T,0.49,0.2,0.23,0.01,0.05,PC,2 to 4,Up to 4 ,Not Specified,28,1,0,85,29,51,16,20,8.1,87
3485,The Escapists 2,Action,PC,PC,Team17 Software,Team17 Software,2017-08-21,T,0.49,0.2,0.23,0.01,0.05,PC,Not Specified,Online Multiplayer,Online,8,4,0,75,12,4,4,0,7.7,8
3486,Animal Crossing: Amiibo Festival,Party,Nintendo,WIIU,Nintendo,"Nd Cube Co., Ltd.",2015-11-13,E,0.49,0.37,0.11,,0.02,8th Gen,,,,2,10,8,46,20,19,9,31,4.3,59
3489,F1 2012,Racing,Xbox,X360,Codemasters,Codemasters Birmingham,2012-09-18,E,0.49,0.23,0.12,0.1,0.04,7th Gen,,,,39,3,0,84,42,9,2,1,6.9,12
3490,Mario & Sonic at the Rio 2016 Olympic Games,Sports,Nintendo,WIIU,Nintendo,Sega Sports R&D,2016-06-24,E10,0.49,0.45,0.0,0.0,0.04,8th Gen,,,,7,17,2,65,26,8,2,5,7.8,15
3491,Dragon Ball Z: Burst Limit,Fighting,Xbox,X360,Atari,Dimps Corporation,2008-06-10,T,0.49,0.21,0.2,0.0,0.08,7th Gen,2 to 4,1-2 ,Not Specified,27,22,1,72,50,6,5,2,7.7,13
3492,Worms: Ultimate Mayhem,Strategy,PC,PC,Unknown,Team17 Software,2011-09-28,E10,0.5,0.1,0.35,0.0,0.06,PC,,,,0,4,0,66,4,8,4,2,7.7,14
3493,Crazy Taxi,Racing,Nintendo,GC,Acclaim Entertainment,Hitmaker,2001-11-17,T,0.49,0.1,0.23,0.13,0.03,6th Gen,1,1 Player,Not Online,8,10,2,69,20,8,3,0,7.6,11
3494,Spy Hunter 2,Racing,PlayStation,PS2,Midway Games,Angel Studios,2003-11-20,T,0.49,0.24,0.18,0.03,0.05,6th Gen,2 to 4,1-2 ,Not Specified,4,21,5,57,30,0,0,1,6.4,1
3495,Art Academy: Lessons for Everyone!,Misc,Nintendo,3DS,Nintendo,Headstrong Games,2012-10-01,E,0.04,0.0,0.03,0.0,0.0,8th Gen,,,,13,1,0,81,14,5,2,0,7.6,7
3496,FIFA Soccer 09,Sports,Nintendo,DS,Electronic Arts,Exient Ltd.,2008-10-13,E,0.49,0.36,0.09,0.02,0.01,7th Gen,,,,5,0,0,84,5,5,1,6,6.2,12
3497,Medal of Honor,Shooter,PC,PC,Electronic Arts,EA Los Angeles,2010-10-12,M,0.49,0.24,0.19,0.0,0.06,PC,,,,16,9,1,72,26,67,50,54,6.4,171
3498,Pac-Man World 2,Platform,Xbox,XBOX,Namco,Namco,2002-10-15,E,0.49,0.2,0.05,0.21,0.02,6th Gen,1,1 Player,Not Online,1,6,0,66,7,0,0,0,,0
3499,DiRT 4,Racing,PlayStation,PS4,Deep Silver,Codemasters,2017-06-06,T,0.49,0.12,0.31,0.0,0.06,8th Gen,5 to 12,Up to 8 ,Not Specified,41,3,0,85,44,20,4,7,7.5,31
3500,Hyrule Warriors Legends,Action,Nintendo,3DS,Nintendo,Omega Force,2016-03-25,T,0.49,0.2,0.23,0.0,0.07,8th Gen,Not Specified,No Online Multiplayer,Not Online,29,25,4,70,58,18,11,5,7.4,34
3501,Dark Souls: Remastered,Role-Playing,PlayStation,PS4,Bandai Namco Entertainment,From Software,2018-05-25,M,0.49,0.36,0.11,,0.02,8th Gen,5 to 12,Up to 6 ,Not Specified,48,5,0,84,53,61,10,23,6.8,94
3502,Styx: Master of Shadows,Action,PC,PC,Focus Home Interactive,Cyanide Studios,2014-10-07,M,0.49,0.1,0.3,0.02,0.07,PC,Not Specified,No Online Multiplayer,Not Online,15,16,0,71,31,30,8,13,7.2,51
3503,Sniper Elite: Nazi Zombie Army 2,Shooter,PC,PC,Unknown,Rebellion Games,2013-10-31,,0.49,0.17,0.16,0.12,0.03,PC,,,,0,7,3,53,10,18,5,2,6.9,25
3504,Tales of Legendia,Role-Playing,PlayStation,PS2,Namco,Namco / Team MelFes,2006-02-07,T,0.49,0.13,0.16,0.14,0.06,6th Gen,1,1 Player,Not Online,19,17,1,72,37,8,3,1,8.0,12
3507,Alone in the Dark,Adventure,Xbox,X360,Atari,Eden Studios,2008-06-23,M,0.49,0.07,0.05,0.35,0.02,7th Gen,Not Specified,No Online Multiplayer,Not Online,4,38,11,58,53,27,11,21,5.5,59
3508,Shrek the Third,Action,PlayStation,PS2,Activision,Amaze Entertainment,2007-05-15,E10,0.49,0.0,0.45,0.0,0.03,6th Gen,2 to 4,1-2 ,Not Specified,3,12,3,56,18,1,2,1,4.6,4
3509,The Swapper,Misc,PC,PC,Facepalm Games,Unknown,2013-05-30,,0.49,0.14,0.3,0.0,0.05,PC,Not Specified,No Online Multiplayer,Not Online,35,1,0,87,36,86,15,0,8.6,101
3510,Need for Speed: Porsche Unleashed,Racing,Nintendo,GBA,"Destination Software, Inc",Pocketeers,2004-03-15,E,0.49,0.14,0.3,0.0,0.05,6th Gen,2 to 4,1-4 ,Not Specified,0,4,0,62,4,4,0,0,7.8,4
3511,NFL Street 2,Sports,Xbox,XBOX,EA Sports BIG,EA Tiburon,2004-12-22,E,0.48,0.4,0.02,0.0,0.07,6th Gen,2 to 4,4  Online,Online,29,15,0,78,44,5,0,4,6.6,9
3513,Farpoint,Shooter,PlayStation,PS4,Sony Interactive Entertainment,Impulse Gear,2017-05-16,M,0.48,0.35,0.13,0.0,0.01,8th Gen,2 to 4,2 ,Not Specified,31,30,1,71,62,67,9,5,8.1,81
3514,X3: Terran Conflict,Simulation,PC,PC,Atari,Egosoft,2008-10-16,T,0.48,0.36,0.11,,0.02,PC,,,,7,9,0,73,16,58,15,17,7.9,90
3515,Jeopardy!,Misc,PlayStation,PS2,Atari,Atari,2003-10-28,E,0.47,0.31,0.1,0.03,0.03,6th Gen,2 to 4,1-3 ,Not Specified,2,2,0,62,4,2,1,1,6.8,4
3516,LEGO Marvel's Avengers,Action,Xbox,XONE,Warner Bros. Interactive Entertainment,Traveller's Tales,2016-01-26,E10,0.48,,0.38,0.04,0.06,8th Gen,Not Specified,No Online Multiplayer,Not Online,6,11,1,71,18,2,0,2,5.6,4
3517,Destroy All Humans! 2,Adventure,PlayStation,PS2,THQ,Pandemic Studios,2006-10-17,T,0.03,0.0,0.02,0.0,0.01,6th Gen,2 to 4,1-2 ,Not Specified,22,15,2,74,39,13,1,0,8.7,14
3518,Pinball Hall of Fame: The Williams Collection,Misc,Nintendo,WII,Crave Entertainment,FarSight Studios,2008-02-26,E10,0.48,0.24,0.18,0.0,0.06,7th Gen,,,,15,1,0,82,16,22,0,0,8.1,22
3519,WWE 2K19,Fighting,Xbox,XONE,2K Sports,Visual Concepts,2018-10-05,T,0.48,0.26,0.18,,0.04,8th Gen,5 to 12,Up to 6 ,Not Specified,13,8,0,77,21,6,2,1,4.5,9
3520,Lollipop Chainsaw,Action,Xbox,X360,Warner Bros. Interactive Entertainment,Grasshopper Manufacture,2012-06-12,M,0.48,0.4,0.02,0.0,0.07,7th Gen,,,,30,32,2,70,64,34,21,6,7.0,61
3521,Bionic Commando,Adventure,PlayStation,PS3,Capcom,GRIN,2009-05-18,M,0.48,0.42,0.03,,0.04,7th Gen,5 to 12,Up to 8 ,Not Specified,24,23,1,71,48,10,8,2,7.3,20
3522,You're in the Movies,Misc,Xbox,X360,Microsoft,Zoe Mode,2008-11-17,E,0.48,0.3,0.14,,0.04,7th Gen,2 to 4,4  Online,Online,1,17,3,55,21,4,2,3,5.2,9
3523,Fortune Street,Misc,Nintendo,WII,Nintendo,Square Enix,2011-12-05,E,0.49,0.31,0.13,0.02,0.04,7th Gen,,,,12,30,0,68,42,10,1,3,7.5,14
3524,Scene It? Lights Camera Action,Misc,Xbox,X360,Microsoft Game Studios,WXP / Screenlife Games,2007-11-06,T,0.37,0.12,0.17,0.01,0.07,7th Gen,2 to 4,1-4 ,Not Specified,18,23,0,73,41,11,1,0,8.1,12
3525,Battleborn,Shooter,PlayStation,PS4,2K Games,Gearbox Software,2016-05-03,T,0.48,0.27,0.17,0.0,0.05,8th Gen,5 to 12,Up to 10 ,Not Specified,18,36,1,68,55,63,19,18,6.8,100
3526,Dark Sector,Shooter,Xbox,X360,D3 Publisher,Digital Extremes,2008-03-25,M,0.48,0.25,0.03,0.17,0.03,7th Gen,5 to 12,10  Online,Online,37,30,4,72,71,29,11,3,7.5,43
3527,Jurassic World Evolution,Simulation,PC,PC,Frontier Developments,Frontier Developments,2018-06-11,T,0.48,0.43,0.02,0.0,0.04,PC,Not Specified,No Online Multiplayer,Not Online,28,26,3,69,57,31,16,10,7.3,57
3528,Tiger Woods PGA Tour 07,Sports,Xbox,X360,EA Sports,EA Redwood Shores,2006-10-17,E,0.22,0.09,0.08,0.01,0.04,7th Gen,2 to 4,4  Online,Online,36,7,1,80,44,5,3,0,7.8,8
3529,Far Cry 2,Shooter,PC,PC,Ubisoft,Ubisoft Montreal,2008-10-21,M,0.48,0.22,0.2,0.01,0.05,PC,13 to 24,Up to 16 ,Not Specified,26,8,0,85,34,141,139,192,5.9,472
3531,A Way Out,Action,PlayStation,PS4,Electronic Arts,Hazelight,2018-03-23,M,0.48,0.44,0.0,0.0,0.04,8th Gen,2 to 4,2 ,Not Specified,47,14,1,78,62,89,20,15,8.0,124
